BT1:1
D_1_1:1
D_1_10:1
D_1_11:1
D_1_12:1
D_1_2:1
D_1_3:1
D_1_4:1
D_1_5:1
D_1_6:1
D_1_7:1
D_1_8:1
D_1_9:1
D_2_1:1
D_2_10:1
D_2_11:1
D_2_12:1
D_2_2:1
D_2_3:1
D_2_4:1
D_2_5:1
D_2_6:1
D_2_7:1
D_2_8:1
D_2_9:1
D_3_1:1
D_3_10:1
D_3_11:1
D_3_12:1
D_3_2:1
D_3_3:1
D_3_4:1
D_3_5:1
D_3_6:1
D_3_7:1
D_3_8:1
D_3_9:1
D_4_1:1
D_4_10:1
D_4_11:1
D_4_12:1
D_4_2:1
D_4_3:1
D_4_4:1
D_4_5:1
D_4_6:1
D_4_7:1
D_4_8:1
D_4_9:1
D_5_1:1
D_5_10:1
D_5_11:1
D_5_12:1
D_5_2:1
D_5_3:1
D_5_4:1
D_5_5:1
D_5_6:1
D_5_7:1
D_5_8:1
D_5_9:1
H1:1
H10:1
H11:1
H2:1
H3:1
H4:1
H5:1
H6:1
H7:1
H8:1
H9:1
HOLE:2
J1:1
J2:1
OLED1:1
REF**:1
RESET1:1
RESET2:1
SW1:1
SW2:1
SW_1_1:1
SW_1_10:1
SW_1_11:1
SW_1_12:1
SW_1_2:1
SW_1_3:1
SW_1_4:1
SW_1_5:1
SW_1_6:1
SW_1_7:1
SW_1_8:1
SW_1_9:1
SW_2_1:1
SW_2_10:1
SW_2_11:1
SW_2_12:1
SW_2_2:1
SW_2_3:1
SW_2_4:1
SW_2_5:1
SW_2_6:1
SW_2_7:1
SW_2_8:1
SW_2_9:1
SW_3_1:1
SW_3_10:1
SW_3_11:1
SW_3_12:1
SW_3_2:1
SW_3_3:1
SW_3_4:1
SW_3_5:1
SW_3_6:1
SW_3_7:1
SW_3_8:1
SW_3_9:1
SW_4_1:1
SW_4_10:1
SW_4_11:1
SW_4_12:1
SW_4_2:1
SW_4_3:1
SW_4_4:1
SW_4_5:1
SW_4_6:1
SW_4_7:1
SW_4_8:1
SW_4_9:1
SW_5_1:1
SW_5_10:1
SW_5_11:1
SW_5_12:1
SW_5_2:1
SW_5_3:1
SW_5_4:1
SW_5_5:1
SW_5_6:1
SW_5_7:1
SW_5_8:1
SW_5_9:1
TB1:1
U1:1
kibuzzard-656122B9:1
